track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date
"\"Apna Bana Le (From \"\"Bhediya\"\")\"","Arijit Singh, Sachin-Jigar",2,86,0,139836056,11,101,0,0,59,44,56,80,0,6,3,2022-11-05
"\"Besharam Rang (From \"\"Pathaan\"\")\"","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,130,4,140187018,21,79,2,0,77,65,80,6,0,15,4,2022-12-12
"\"Come Back Home - From \"\"Purple Hearts\"\"\"",Sofia Carson,1,367,0,97610446,28,67,195,0,56,43,53,24,0,12,4,2022-07-12
"\"I'm Tired - From \"\"Euphoria\"\" An Original HBO Series\"",Labrinth,1,1888,0,121913181,26,1,58,0,28,26,20,19,0,30,3,2022-02-04
"\"Kesariya (From \"\"Brahmastra\"\")\"","Pritam, Arijit Singh, Amitabh Bhattacharya",3,292,6,366599607,26,98,4,0,58,44,57,57,0,10,3,2022-07-17
"\"Nobody Like U - From \"\"Turning Red\"\"\"","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixar���s Turning Red), Topher Ngo, Grayson Vill",6,918,0,120847157,34,39,30,0,91,73,72,13,0,9,15,2022-02-25
"\"Phir Aur Kya Chahiye (From \"\"Zara Hatke Zara Bachke\"\")\"","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,178,6,64533040,6,71,1,0,56,53,55,53,0,12,4,2023-05-15
"\"Tere Vaaste (From \"\"Zara Hatke Zara Bachke\"\")\"","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,182,8,54225632,3,88,1,0,76,96,72,32,0,9,4,2023-05-22
"\"What Was I Made For? [From The Motion Picture \"\"Barbie\"\"]\"",Billie Eilish,1,873,104,30546883,80,227,95,24,44,14,9,96,0,10,3,2023-07-13
'Till I Collapse,"Eminem, Nate Dogg",2,22923,0,1695712020,78,46,,1,55,10,85,7,0,8,20,2002-05-26
(It Goes Like) Nanana - Edit,Peggy Gou,1,2259,59,57876440,0,0,109,17,67,96,88,12,19,8,4,2023-06-15
10 Things I Hate About You,Leah Kate,1,1301,0,185550869,23,1,15,0,54,45,79,1,0,17,5,2022-03-23
10:35,"Ti��sto, Tate M",2,4942,26,325592432,190,104,147,18,70,70,79,7,0,18,10,2022-11-01
2 Be Loved (Am I Ready),Lizzo,1,3682,6,247689123,41,0,158,2,72,92,77,9,0,8,11,2022-07-14
2055,Sleepy hallow,1,2226,0,624515457,29,0,44,0,78,65,52,46,0,12,31,2021-04-14
212,"Mainstreet, Chefin",2,352,0,143139338,10,0,39,0,79,86,52,66,0,9,7,2022-01-15
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,620,0,54937991,17,3,3,0,90,74,54,16,0,13,28,2022-01-07
295,Sidhu Moose Wala,1,246,4,183273246,4,106,0,0,68,54,76,21,0,11,20,2021-05-15
505,Arctic Monkeys,1,13985,25,1217120710,30,80,588,1,52,20,85,0,0,7,5,2007-04-20
69,"Nicky Jam, Feid",2,1134,22,57945987,39,14,48,2,79,58,62,11,0,11,23,2023-05-18
A Holly Jolly Christmas - Single Version,Burl Ives,1,7930,0,395591396,108,120,73,0,67,81,36,64,0,15,3,1952-01-01
A Tale By Quincy,The Weeknd,1,733,0,41924466,0,2,2,0,46,55,50,71,0,10,11,2022-01-07
A Tu Merced,Bad Bunny,1,4214,11,685071800,21,20,40,0,86,89,79,17,0,11,6,2020-02-29
A Veces (feat. Feid),"Feid, Paulo Londra",2,573,0,73513683,2,0,7,0,80,81,67,4,0,8,6,2022-11-03
ALIEN SUPERSTAR,Beyonc�,1,2688,0,171788484,39,47,36,0,55,46,64,0,0,17,10,2022-07-29
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,6556,0,528544703,93,5,67,1,74,79,66,11,0,8,16,2021-06-24
AMARGURA,Karol G,1,1133,39,153372011,14,71,23,10,92,55,70,18,0,15,7,2023-02-24
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc�",2,896,0,57089066,34,2,33,0,78,20,70,1,0,16,4,2023-05-19
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,995,19,463564958,12,117,9,5,77,79,73,15,0,27,10,2022-11-24
ANTIFRAGILE,LE SSERAFIM,1,761,12,301051721,23,95,11,0,88,82,80,8,0,11,8,2022-10-17
Abcdario,"Junior H, Eden Mu��",2,262,5,89933133,8,60,4,1,70,42,43,78,0,11,3,2023-05-13
About Damn Time,Lizzo,1,2332,2,723894473,0,0,25,0,84,72,74,10,0,34,7,2022-07-15
Acapulco,Jason Derulo,1,3098,0,363467642,111,5,182,1,77,51,79,5,0,16,5,2021-09-01
Acr��s,Shakira,1,955,29,123124076,37,50,79,11,75,35,48,84,0,10,12,2023-05-11
Adore You,Harry Styles,1,13454,1,1439191367,246,71,519,2,68,57,77,2,0,10,5,2019-12-06
Afraid To Feel,LF System,1,5898,5,244790012,129,55,128,0,58,68,91,2,0,27,11,2022-05-02
After Dark,Mr.Kitty,1,1776,14,646886885,1,9,3,0,58,4,60,7,41,8,3,2014-08-08
After Hours,The Weeknd,1,8084,6,698086140,45,115,218,1,66,16,57,10,1,12,3,2020-02-19
After LIKE,IVE,1,767,12,265548837,20,129,11,0,68,80,92,10,0,9,12,2022-08-22
Agosto,Bad Bunny,1,897,0,246127838,6,20,8,0,85,72,58,9,0,49,12,2022-05-06
Aguacero,Bad Bunny,1,829,0,283359161,4,15,10,0,86,67,65,42,0,35,7,2022-05-06
Agudo M��gi,"Styrx, utku INC, Thezth",3,323,0,90598517,4,0,14,0,65,49,80,22,4,7,5,1930-01-01
